"index","city","full_city","image_url","lat","lng","page_url","state"
88,"Teúl","Teúl,Zacatecas","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/zacatecas_destinos-principales_teul_01_0.jpg?itok=1dnfmW3k",21.4658511,-103.4598473,"https://www.visitmexico.com//es/destinos-principales/zacatecas/teul","Zacatecas"
89,"Lagos de Moreno","Lagos de Moreno,Jalisco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/jalisco_destinos-principales_lagos-de-moreno_01_0.jpg?itok=oPN5YAoB",21.3634964,-101.9291015,"https://www.visitmexico.com//es/destinos-principales/jalisco/lagos-de-moreno","Jalisco"
90,"Mascota","Mascota,Jalisco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/jalisco_destinos-principales_mascota_01_0.jpg?itok=6eYPgP3b","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/jalisco/mascota","Jalisco"
91,"Mazamitla","Mazamitla,Jalisco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/jalisco_destinos-principales_mazamitla_01_0.jpg?itok=TYNDqvVs",19.9165757,-103.0212924,"https://www.visitmexico.com//es/destinos-principales/jalisco/mazamitla","Jalisco"
92,"San Sebastián del Oeste","San Sebastián del Oeste,Jalisco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/jalisco_destinos-principales_san-sebastian-del-oeste_01_0.jpg?itok=z-Ts_A7d",20.7613306,-104.8528075,"https://www.visitmexico.com//es/destinos-principales/jalisco/san-sebastian-del-oeste","Jalisco"
93,"Talpa de Allende","Talpa de Allende,Jalisco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/jalisco_cultura_pueblos_magicos_talpa_de_allende_0.jpg?itok=eJ-xDGD_",20.3784149,-104.8191965,"https://www.visitmexico.com//es/destinos-principales/jalisco/talpa-de-allede","Jalisco"
94,"Tapalpa","Tapalpa,Jalisco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/jalisco_destinos-principales_tapalpa_01_0.jpg?itok=9gFL3i7N",19.9476711,-103.7607783,"https://www.visitmexico.com//es/destinos-principales/jalisco/tapalpa","Jalisco"
95,"Tequila","Tequila,Jalisco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/jalisco_cultura_pueblos_magicos_tequila.jpg?itok=lmF6XKdy",20.8819452,-103.8325001,"https://www.visitmexico.com//es/destinos-principales/jalisco/tequila","Jalisco"
96,"Linares","Linares,Nuevo León","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/nuevo-leon_destinos-principales_linares_01_1.jpg?itok=xVpc5Wvp",24.8639494,-99.56178469999999,"https://www.visitmexico.com//es/destinos-principales/nuevo-leon/linares","Nuevo León"
97,"Santiago","Santiago,Nuevo León","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/nuevo-leon_destinos-principales_villa-de-santiago_01_0.jpg?itok=DO7ca-Zq",25.4324736,-100.1559256,"https://www.visitmexico.com//es/destinos-principales/nuevo-leon/villa-de-santiago","Nuevo León"
98,"Loreto","Loreto,Baja California Sur","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/baja-california-sur_destinos-principales_loreto_01_0.jpg?itok=fGJJ9Imk",26.0117564,-111.3477531,"https://www.visitmexico.com//es/destinos-principales/baja-california/loreto","Baja California Sur"
99,"Todos Santos","Todos Santos,Baja California Sur","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/baja-california-sur_destinos-principales_todos-santos_01_0.jpg?itok=_qJPhHSd",23.4463619,-110.2265101,"https://www.visitmexico.com//es/destinos-principales/baja-california/todos-santos","Baja California Sur"
100,"Mapimí","Mapimí,Durango","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/durango_destinos-principales_mapimi_01_0.jpg?itok=AUJ2Vni6",25.833708,-103.8487392,"https://www.visitmexico.com//es/destinos-principales/durango/mapimi","Durango"
101,"Mier","Mier,Tamaulipas","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/tamaulipas_destinos-principales_mier_01_0.jpg?itok=_BBE_qB0",26.4265448,-99.15115019999999,"https://www.visitmexico.com//es/destinos-principales/tamaulipas/mier","Tamaulipas"
102,"Tula","Tula,Tamaulipas","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/tamaulipas_destinos-principales_tula_01_0.jpg?itok=LA2t7Vd-",22.9906564,-99.7204805,"https://www.visitmexico.com//es/destinos-principales/tamaulipas/tula","Tamaulipas"
103,"Palizada","Palizada,Campeche","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/campeche_destinos-principales_palizada_01_0.jpg?itok=YntHjtWt",18.2545777,-92.0914799,"https://www.visitmexico.com//es/destinos-principales/campeche/palizada","Campeche"
104,"Real de Catorce","Real de Catorce,San Luis Potosí","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/san-luis-potosi_destinos-principales_real-de-catorce_01_0.jpg?itok=HKt_PPxA",23.6893967,-100.8855459,"https://www.visitmexico.com//es/destinos-principales/san-luis-potosi/real-de-catorce","San Luis Potosí"
105,"Xilitla","Xilitla,San Luis Potosí","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/san-luis-potosi_destinos-principales_xilitla_01_0.jpg?itok=vvlC3eCK",21.3841719,-98.9921748,"https://www.visitmexico.com//es/destinos-principales/san-luis-potosi/xilitla","San Luis Potosí"
106,"Tapijulapa","Tapijulapa,Tabasco","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/tabasco_destinos-principales_tapijulapa_01_0.jpg?itok=GRRZ8bZC",17.4622198,-92.7779652,"https://www.visitmexico.com//es/destinos-principales/tabasco/tapijulapa","Tabasco"
107,"Taxco","Taxco,Guerrero","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/guerrero_destinos-principales_taxco_01_0.jpg?itok=e6BDsuvi",18.5565468,-99.60512059999999,"https://www.visitmexico.com//es/destinos-principales/guerrero/taxco","Guerrero"
108,"Tecate","Tecate,Baja California","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/baja-california_destinos-principales_tecate_01_0.jpg?itok=4sBmuUDC","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/baja-california/tecate","Baja California"
109,"Tepoztlán","Tepoztlán,Morelos","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/morelos_destinos-principales_tepoztlan_01_0.jpg?itok=1IUMrbml",18.9848015,-99.0930528,"https://www.visitmexico.com//es/destinos-principales/morelos/tepoztlan","Morelos"
110,"Tlayacapan","Tlayacapan,Morelos","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/morelos_destinos-principales_tlayacapan_01_1.jpg?itok=GJOmWgHT","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/morelos/tlayacapan","Morelos"
